,id,carat,cut,color,clarity,depth,table,x,y,z,price
1613,1613,0.9,Very Good,F,SI1,61.9,58.0,6.1,6.15,3.78,4170
12012,12012,0.94,Premium,J,SI2,61.6,61.0,6.22,6.26,3.84,2936
13478,13478,0.3,Ideal,D,VS2,62.0,55.0,4.21,4.26,2.61,710
7881,7881,1.04,Ideal,F,SI1,62.2,57.0,6.47,6.51,4.03,5633
7624,7624,1.02,Premium,D,SI1,60.6,60.0,6.57,6.48,3.95,4692
2015,2015,1.0,Premium,I,SI1,62.4,61.0,6.23,6.16,3.88,3617
6870,6870,0.7,Very Good,G,IF,63.5,59.0,5.6,5.64,3.57,3454
9004,9004,0.28,Ideal,I,VVS2,62.0,53.0,4.2,4.23,2.61,532
4972,4972,2.01,Very Good,J,SI1,61.6,60.0,8.1,8.14,5.01,11726
7615,7615,1.05,Premium,G,SI2,61.9,58.0,6.5,6.46,4.01,4414
2981,2981,0.91,Very Good,F,SI1,61.8,60.0,6.26,6.22,3.84,4509
7272,7272,1.01,Premium,F,VS1,60.1,61.0,6.57,6.54,3.92,7562
12650,12650,0.41,Ideal,G,IF,62.0,55.0,4.81,4.78,2.98,1279
243,243,0.4,Ideal,D,VS2,60.9,57.0,4.74,4.78,2.9,1033
106,106,1.07,Ideal,H,SI1,62.5,57.0,6.55,6.52,4.09,5330
7187,7187,1.02,Good,E,SI1,59.0,62.0,6.47,6.55,3.84,5151
4878,4878,0.34,Premium,F,VS2,61.8,58.0,4.45,4.49,2.76,880
12804,12804,0.24,Very Good,E,VVS1,63.6,55.0,3.96,4.0,2.53,485
13285,13285,1.5,Premium,F,SI1,61.8,59.0,7.31,7.34,4.52,11954
12847,12847,1.02,Premium,D,SI2,59.4,59.0,6.55,6.58,3.89,4390
12257,12257,0.9,Very Good,G,SI2,63.2,56.0,6.1,6.08,3.86,3266
7453,7453,0.3,Ideal,G,VVS2,60.7,55.0,4.41,4.39,2.67,764
11712,11712,0.51,Ideal,D,VS2,62.5,55.0,5.12,5.15,3.21,1845
5948,5948,0.3,Ideal,G,VVS2,62.0,55.0,4.33,4.35,2.69,684
11532,11532,1.2,Ideal,I,SI2,61.7,57.0,6.81,6.87,4.22,5312
3873,3873,1.06,Premium,F,VS2,62.3,60.0,6.47,6.51,4.04,6352
7363,7363,2.0,Good,D,SI2,61.7,61.0,8.07,8.0,4.97,12576
6006,6006,0.4,Very Good,E,VS1,63.2,59.0,4.73,4.68,2.97,1060
12413,12413,0.7,Good,F,SI1,63.6,59.0,5.59,5.54,3.55,2700
11808,11808,1.0,Very Good,F,VS2,63.2,57.0,6.43,6.35,4.04,6819
11047,11047,0.71,Premium,E,SI1,60.4,60.0,5.77,5.81,3.5,2396
10909,10909,0.3,Ideal,D,VS1,62.4,56.0,4.32,4.3,2.69,752
13468,13468,0.25,Very Good,F,VS1,60.0,59.0,4.08,4.11,2.46,575
9434,9434,1.01,Premium,G,VS2,60.6,58.0,6.51,6.54,3.96,6582
29,29,0.37,Premium,F,SI1,61.4,60.0,4.63,4.61,2.83,945
2801,2801,0.31,Premium,G,VS2,60.1,58.0,4.43,4.39,2.65,698
8093,8093,1.22,Premium,F,VS2,61.9,61.0,6.84,6.79,4.22,8736
5743,5743,0.71,Ideal,F,VS2,61.7,55.0,5.76,5.7,3.53,2858
2922,2922,0.33,Ideal,H,VS1,62.4,55.0,4.41,4.44,2.76,795
12417,12417,1.01,Very Good,E,SI2,62.9,56.0,6.39,6.36,4.01,4676
7539,7539,0.3,Premium,G,VS1,61.6,59.0,4.26,4.29,2.63,776
11189,11189,0.51,Ideal,F,SI1,61.0,57.0,5.13,5.17,3.14,1269
1245,1245,0.33,Ideal,G,VS2,61.7,55.0,4.46,4.48,2.76,629
4053,4053,0.41,Ideal,E,VS1,60.3,56.0,4.82,4.86,2.92,1051
12540,12540,0.34,Ideal,E,SI1,60.9,57.0,4.51,4.56,2.76,596
4412,4412,0.91,Premium,J,VS1,62.3,59.0,6.16,6.22,3.85,4530
108,108,0.31,Ideal,H,VS2,61.4,56.0,4.34,4.38,2.68,477
10141,10141,0.74,Ideal,E,VS2,61.3,57.0,5.82,5.87,3.58,3183
12482,12482,0.31,Ideal,D,VS1,62.1,54.0,4.31,4.34,2.69,817
12021,12021,0.3,Very Good,H,SI1,62.2,58.0,4.26,4.29,2.66,427
10866,10866,0.33,Very Good,D,SI2,62.6,56.0,4.4,4.38,2.75,492
6717,6717,1.15,Ideal,I,SI1,62.0,57.0,6.74,6.71,4.18,4752
7145,7145,1.58,Premium,G,VS2,60.0,60.0,7.59,7.53,4.53,9322
8746,8746,1.51,Premium,I,SI1,62.6,58.0,7.31,7.22,4.55,7999
4394,4394,1.21,Very Good,D,SI2,63.2,56.0,6.74,6.73,4.25,6373
8489,8489,0.91,Very Good,E,SI1,62.5,59.0,6.1,6.17,3.83,4995
8188,8188,0.7,Very Good,G,VVS2,62.2,56.0,5.66,5.7,3.53,2872
9724,9724,0.3,Ideal,H,VS1,62.8,55.0,4.23,4.27,2.66,526
4348,4348,0.55,Ideal,F,SI2,62.2,55.0,5.27,5.29,3.28,1142
6145,6145,0.78,Ideal,E,SI1,62.7,56.0,5.87,5.82,3.67,3047
9030,9030,0.52,Ideal,E,VS1,61.2,55.0,5.18,5.22,3.18,1917
12504,12504,1.02,Ideal,I,VS2,60.8,55.8,6.51,6.54,3.97,5255
14094,14094,0.43,Ideal,E,SI1,61.1,56.0,4.87,4.91,2.99,948
6621,6621,0.53,Ideal,D,SI1,61.2,55.0,5.26,5.3,3.22,1694
8217,8217,1.2,Ideal,I,SI1,61.6,56.0,6.79,6.84,4.19,5276
12598,12598,1.51,Very Good,H,VS2,63.0,56.0,7.28,7.24,4.59,10642
5957,5957,1.02,Premium,D,SI2,60.6,59.0,6.49,6.44,3.92,4398
973,973,1.2,Premium,E,VS2,61.4,61.0,6.84,6.79,4.18,10098
4659,4659,2.01,Very Good,I,VS1,62.8,57.0,7.93,8.01,5.02,17103
4299,4299,2.01,Ideal,I,SI1,62.7,57.0,7.93,8.03,5.0,16130
9634,9634,0.92,Very Good,F,SI1,60.1,58.0,6.29,6.32,3.79,4186
8483,8483,0.46,Ideal,H,VVS2,61.4,55.0,4.9,4.92,2.99,1192
11734,11734,0.7,Ideal,H,VVS1,62.1,55.0,5.66,5.7,3.53,2618
6835,6835,0.3,Ideal,F,VVS1,61.7,55.0,4.32,4.36,2.68,814
3088,3088,0.7,Very Good,I,SI2,62.3,56.0,5.65,5.72,3.54,1777
8447,8447,0.3,Very Good,F,IF,60.4,59.0,4.32,4.35,2.62,886
5582,5582,0.9,Premium,G,SI1,59.5,60.0,6.22,6.29,3.73,3804
5422,5422,0.91,Very Good,H,SI2,60.2,61.0,6.31,6.33,3.8,3299
10564,10564,0.7,Premium,H,SI2,60.2,60.0,5.79,5.74,3.47,2372
10,10,1.01,Very Good,G,VS2,63.1,57.0,6.4,6.34,4.03,5914
2647,2647,0.3,Premium,G,VS1,62.2,58.0,4.27,4.29,2.66,605
11399,11399,0.41,Ideal,D,SI1,60.8,57.0,4.77,4.79,2.91,1015
1426,1426,2.02,Very Good,I,SI2,62.9,59.0,7.94,8.03,5.02,13400
11699,11699,1.58,Premium,G,SI1,62.2,55.0,7.48,7.41,4.62,10680
3265,3265,0.3,Ideal,E,VVS2,61.4,56.0,4.34,4.36,2.67,949
11378,11378,1.01,Premium,E,SI2,59.6,60.0,6.52,6.46,3.9,3639
11549,11549,0.23,Very Good,F,VVS2,62.8,58.0,3.88,3.92,2.45,530
8131,8131,0.32,Premium,H,VS2,60.9,59.0,4.42,4.39,2.68,505
9321,9321,0.33,Premium,G,VVS2,61.2,58.0,4.4,4.42,2.7,965
1215,1215,0.73,Very Good,G,VS2,62.1,59.0,5.78,5.73,3.58,2617
11356,11356,0.34,Ideal,D,SI1,62.0,55.0,4.44,4.49,2.77,663
13413,13413,0.53,Ideal,H,VS2,61.7,55.0,5.21,5.23,3.22,1666
8563,8563,2.21,Fair,D,SI2,65.4,58.0,8.15,8.12,5.18,12776
12524,12524,1.02,Ideal,I,VS2,61.1,57.0,6.48,6.54,3.98,4250
323,323,0.55,Premium,E,VS2,61.6,58.0,5.28,5.23,3.23,1786
1344,1344,0.41,Ideal,I,VVS2,61.6,57.0,4.81,4.77,2.94,1046
4457,4457,0.33,Ideal,D,SI1,61.9,57.0,4.4,4.43,2.74,755
6933,6933,1.0,Premium,I,SI1,59.1,59.0,6.42,6.46,3.8,3766
909,909,1.02,Premium,I,SI2,62.3,59.0,6.43,6.38,4.0,3786
9800,9800,1.02,Ideal,G,VS1,62.5,56.0,6.45,6.43,4.03,6683
3399,3399,1.01,Premium,G,SI1,62.9,58.0,6.41,6.37,4.01,5484
496,496,0.73,Ideal,G,SI2,61.4,57.0,5.79,5.82,3.56,2262
13756,13756,0.7,Good,G,VS2,63.8,55.0,5.57,5.61,3.57,2462
7738,7738,0.3,Ideal,D,SI1,62.0,55.0,4.33,4.31,2.68,616
9942,9942,0.35,Ideal,G,VS2,62.6,56.0,4.5,4.46,2.8,749
12802,12802,0.32,Ideal,G,VS1,61.9,55.0,4.42,4.46,2.74,828
12369,12369,1.01,Very Good,E,SI1,63.2,60.0,6.38,6.35,4.02,5091
3470,3470,0.4,Ideal,G,VVS2,61.2,56.0,4.78,4.74,2.91,1050
12712,12712,0.32,Very Good,F,VS2,62.8,58.0,4.32,4.35,2.73,645
7676,7676,0.51,Ideal,I,VS2,62.2,55.0,5.13,5.17,3.2,1163
4365,4365,1.06,Premium,H,SI1,62.1,56.0,6.53,6.56,4.06,5183
1195,1195,0.6,Ideal,F,SI1,61.9,56.0,5.37,5.4,3.34,2167
10962,10962,1.0,Very Good,H,SI1,59.8,57.0,6.51,6.54,3.9,4648
1423,1423,0.42,Very Good,F,SI1,61.5,57.0,4.78,4.81,2.95,926
5107,5107,0.9,Good,I,VS2,63.9,62.0,6.01,6.03,3.85,3145
256,256,1.56,Premium,J,VS2,59.7,59.0,7.59,7.53,4.51,7848
12205,12205,1.13,Ideal,H,VS2,62.2,57.0,6.63,6.66,4.14,5728
13598,13598,1.0,Very Good,D,SI2,62.9,60.0,6.28,6.31,3.96,3879
288,288,0.3,Ideal,D,SI1,62.3,55.0,4.3,4.28,2.67,709
8791,8791,1.01,Premium,D,SI2,62.7,59.0,6.38,6.34,3.99,4672
9750,9750,0.57,Ideal,G,VS1,61.7,55.0,5.33,5.37,3.3,1667
5888,5888,0.45,Fair,G,VS1,65.1,58.0,4.84,4.65,2.96,1035
4484,4484,0.91,Ideal,I,SI2,61.4,57.0,6.21,6.25,3.83,3373
10639,10639,0.46,Ideal,E,SI1,61.4,57.0,4.97,5.0,3.06,1243
9354,9354,0.31,Premium,D,VS2,61.8,59.0,4.35,4.32,2.68,942
1232,1232,0.73,Ideal,G,VS2,61.3,55.0,5.83,5.85,3.58,3547
6486,6486,0.3,Very Good,D,SI2,61.0,56.0,4.3,4.34,2.63,462
2675,2675,0.41,Premium,E,SI1,62.5,58.0,4.76,4.71,2.96,751
1112,1112,1.0,Premium,H,SI1,61.9,59.0,6.44,6.38,3.97,4321
7173,7173,0.85,Premium,F,I1,62.3,58.0,6.06,6.01,3.77,2607
6521,6521,0.5,Ideal,H,SI1,61.6,57.0,5.07,5.09,3.13,1054
267,267,1.01,Very Good,H,SI1,62.0,59.0,6.43,6.38,3.97,5021
10385,10385,0.35,Ideal,J,VS1,61.7,56.0,4.54,4.57,2.81,518
10662,10662,2.12,Premium,I,VS2,61.8,61.0,8.21,8.24,5.1,17197
11670,11670,0.78,Premium,F,SI1,60.7,62.0,5.87,5.88,3.58,2771
6834,6834,0.41,Ideal,G,VS1,61.7,57.0,4.77,4.81,2.95,961
10531,10531,1.02,Premium,E,SI2,63.0,59.0,6.37,6.31,4.01,4311
3048,3048,0.57,Ideal,D,SI2,62.6,56.0,5.29,5.27,3.31,1232
5763,5763,0.5,Good,G,VS1,62.0,60.0,5.01,5.04,3.12,1438
7614,7614,1.15,Very Good,H,SI2,60.0,61.0,6.78,6.87,4.09,5335
1379,1379,1.16,Premium,H,SI1,61.1,59.0,6.76,6.71,4.12,4755
4838,4838,0.7,Premium,G,SI2,60.3,58.0,5.79,5.86,3.49,2274
11144,11144,0.5,Ideal,E,SI1,61.3,58.0,5.07,5.11,3.12,1410
13832,13832,1.01,Premium,F,VS1,62.5,59.0,6.39,6.36,3.98,7262
9246,9246,1.25,Ideal,G,VS1,62.4,57.0,6.88,6.9,4.3,12008
13434,13434,0.53,Ideal,E,VS2,61.5,56.0,5.19,5.23,3.2,1690
8177,8177,2.07,Premium,I,SI2,60.1,59.0,8.31,8.22,4.96,13421
3790,3790,1.04,Premium,E,VVS2,61.4,56.0,6.54,6.5,4.0,9494
620,620,0.37,Premium,E,VS2,60.0,60.0,4.7,4.73,2.81,811
652,652,0.57,Very Good,J,SI2,60.3,59.0,5.33,5.42,3.24,1121
4903,4903,0.57,Ideal,E,VS2,62.4,55.0,5.28,5.31,3.3,1876
7532,7532,0.32,Very Good,F,VS1,62.7,55.0,4.39,4.41,2.76,696
3473,3473,1.22,Ideal,G,VS1,61.8,56.0,6.84,6.88,4.23,7305
7885,7885,0.6,Ideal,F,VS1,62.6,53.6,5.36,5.4,3.37,2231
4793,4793,2.14,Ideal,I,VS2,62.2,57.0,8.26,8.22,5.11,14715
11358,11358,0.32,Ideal,G,IF,62.6,54.0,4.38,4.37,2.74,863
5862,5862,0.31,Ideal,G,VS1,62.1,54.0,4.32,4.36,2.7,599
11366,11366,0.23,Ideal,E,VVS1,61.0,57.0,3.95,3.98,2.42,530
2516,2516,1.01,Premium,F,SI1,61.0,59.0,6.51,6.45,3.94,5347
10696,10696,0.41,Very Good,F,VS1,59.8,56.0,4.84,4.87,2.91,1007
12222,12222,0.32,Ideal,E,VS1,61.7,54.0,4.41,4.43,2.73,1002
6625,6625,0.31,Very Good,H,VVS1,62.3,55.0,4.32,4.36,2.7,642
12848,12848,0.27,Ideal,E,VS2,61.6,56.0,4.16,4.19,2.57,575
7731,7731,1.04,Ideal,H,SI2,61.8,55.0,6.53,6.55,4.04,4629
10436,10436,0.51,Very Good,D,VS1,61.0,55.0,5.12,5.16,3.14,1934
5226,5226,0.58,Very Good,D,SI1,63.2,59.0,5.31,5.34,3.36,1636
3603,3603,1.11,Premium,F,SI1,61.0,59.0,6.65,6.61,4.05,5944
5908,5908,2.01,Good,F,SI2,63.3,59.0,7.93,8.0,5.05,15841
13767,13767,0.9,Good,I,SI1,57.9,63.0,6.26,6.35,3.66,3399
8861,8861,0.53,Ideal,G,VVS2,62.0,56.0,5.17,5.2,3.22,1935
11381,11381,0.71,Very Good,G,VVS2,62.8,56.0,5.66,5.7,3.56,3270
1506,1506,0.4,Very Good,E,VS1,63.1,54.0,4.73,4.7,2.98,1053
6025,6025,1.05,Ideal,G,VS1,62.4,57.0,6.47,6.52,4.05,7437
12553,12553,0.56,Ideal,D,VS2,62.0,55.0,5.31,5.29,3.28,1904
10126,10126,1.01,Very Good,G,SI1,63.1,56.0,6.29,6.35,3.99,5161
10567,10567,2.0,Fair,F,SI2,66.8,55.0,7.75,7.71,5.08,12555
11963,11963,1.34,Ideal,H,VVS1,62.7,56.0,7.04,7.1,4.43,11663
6319,6319,0.35,Ideal,E,SI1,61.8,55.0,4.53,4.55,2.81,760
14130,14130,0.38,Ideal,E,VS1,60.7,56.0,4.67,4.71,2.85,1000
730,730,0.92,Premium,E,SI2,60.6,59.0,6.26,6.3,3.81,3010
14217,14217,1.05,Ideal,H,SI2,61.1,57.0,6.58,6.49,4.0,3794
12938,12938,0.3,Ideal,D,SI1,62.1,56.0,4.28,4.33,2.67,619
8018,8018,0.41,Ideal,E,VS2,61.5,55.0,4.8,4.82,2.95,868
9876,9876,0.33,Ideal,D,VS2,61.2,56.0,4.51,4.48,2.76,891
1745,1745,0.42,Ideal,H,VS2,61.3,55.0,4.81,4.84,2.96,852
3853,3853,0.7,Very Good,E,VS1,62.6,58.0,5.64,5.71,3.55,3124
10889,10889,0.31,Ideal,F,SI1,62.5,53.0,4.32,4.35,2.7,641
14139,14139,1.53,Ideal,E,VS2,62.3,56.0,7.33,7.36,4.58,14424
2709,2709,0.91,Premium,H,VS2,62.0,60.0,6.19,6.13,3.8,4436
9990,9990,0.7,Good,I,VVS2,60.4,59.0,5.71,5.75,3.45,2343
3388,3388,0.73,Premium,D,SI1,62.3,55.0,5.79,5.71,3.58,2815
6647,6647,1.1,Good,G,VVS2,61.6,63.0,6.63,6.51,4.05,7614
8944,8944,0.32,Premium,E,SI1,61.9,58.0,4.33,4.36,2.69,675
4822,4822,1.54,Premium,F,VS2,61.8,58.0,7.43,7.37,4.57,16294
8922,8922,0.3,Ideal,I,VS1,61.9,54.0,4.28,4.31,2.66,457
14383,14383,0.7,Premium,D,SI1,61.7,58.0,5.69,5.66,3.5,2352
3126,3126,0.39,Premium,D,VVS1,61.8,59.0,4.65,4.69,2.89,1323
1156,1156,1.2,Premium,E,SI1,62.3,57.0,6.8,6.77,4.23,6751
10708,10708,0.3,Ideal,H,VS1,62.3,54.0,4.29,4.31,2.68,526
32,32,0.7,Ideal,I,VS1,62.8,54.0,5.66,5.68,3.56,2390
9782,9782,0.3,Premium,G,VVS2,60.4,58.0,4.43,4.39,2.66,1013
12987,12987,0.73,Ideal,E,VS2,60.3,57.0,5.82,5.85,3.52,3265
1336,1336,0.54,Ideal,G,VS2,61.2,56.0,5.25,5.28,3.22,1599
13065,13065,0.32,Very Good,G,VS1,63.1,60.0,4.38,4.35,2.75,828
4993,4993,0.35,Ideal,I,VS2,62.5,56.0,4.48,4.53,2.82,608
12406,12406,0.51,Ideal,G,VS1,61.6,56.0,5.17,5.14,3.17,1786
8822,8822,1.24,Premium,H,SI2,59.9,59.0,7.0,6.94,4.18,4442
1610,1610,0.5,Very Good,E,SI2,63.1,57.0,5.09,5.05,3.2,1249
939,939,0.31,Premium,F,VS2,62.2,59.0,4.31,4.28,2.67,802
11349,11349,2.02,Ideal,I,SI1,62.2,56.0,8.07,8.12,5.03,15007
4023,4023,1.13,Ideal,G,SI1,61.4,56.0,6.75,6.71,4.13,6773
5914,5914,0.9,Premium,F,SI1,61.8,59.0,6.18,6.16,3.81,4059
4982,4982,0.7,Premium,D,VS2,61.9,58.0,5.63,5.67,3.5,2923
10669,10669,2.01,Very Good,I,SI1,62.3,56.0,8.08,8.03,5.02,16842
745,745,1.2,Ideal,G,SI1,62.0,56.0,6.76,6.84,4.22,6741
4083,4083,0.31,Ideal,D,VS2,61.4,56.0,4.34,4.37,2.68,504
6459,6459,1.71,Premium,H,VS2,61.8,58.0,7.68,7.64,4.73,14017
2877,2877,1.62,Ideal,G,SI1,62.9,57.0,7.53,7.49,4.72,12800
4717,4717,0.47,Ideal,E,VS1,62.2,54.0,4.99,5.03,3.11,1649
1741,1741,1.01,Premium,G,VVS2,59.6,59.0,6.57,6.53,3.89,8037
8959,8959,1.24,Premium,H,SI1,62.8,58.0,6.84,6.8,4.28,5646
2651,2651,0.28,Very Good,D,VS1,63.4,55.0,4.17,4.21,2.64,504
5290,5290,1.03,Premium,D,SI2,60.7,58.0,6.52,6.49,3.95,4743
3002,3002,1.0,Fair,G,VS2,64.6,59.0,6.33,6.28,4.07,4997
1821,1821,0.57,Ideal,I,SI1,61.7,57.0,5.33,5.37,3.3,1142
12387,12387,0.38,Very Good,D,SI1,62.3,58.0,4.62,4.66,2.89,810
1330,1330,0.77,Ideal,F,VS1,61.4,56.0,5.91,5.95,3.64,3838
11780,11780,0.77,Ideal,E,VS2,60.4,57.0,5.92,5.98,3.59,3357
957,957,0.3,Ideal,H,SI1,61.8,55.0,4.33,4.36,2.68,491
2110,2110,1.5,Premium,G,VS2,61.7,58.0,7.35,7.3,4.52,11189
5035,5035,1.52,Ideal,I,VS2,62.1,58.0,7.35,7.4,4.58,9276
1660,1660,0.55,Premium,F,VS1,59.7,58.0,5.36,5.33,3.18,1600
7176,7176,0.34,Ideal,E,VVS1,62.2,57.0,4.47,4.44,2.77,1066
12092,12092,1.02,Ideal,E,VVS2,62.1,55.0,6.44,6.47,4.01,9864
12896,12896,1.15,Ideal,F,VS2,62.2,55.0,6.75,6.7,4.18,8090
655,655,0.31,Ideal,D,SI1,61.8,54.0,4.37,4.34,2.69,732
10450,10450,1.01,Good,H,SI1,59.0,60.0,6.46,6.59,3.83,4812
7476,7476,0.32,Ideal,G,VS2,62.0,54.0,4.44,4.4,2.74,624
7013,7013,1.27,Ideal,G,VS2,62.3,57.0,6.91,6.96,4.32,8602
5403,5403,1.05,Ideal,H,VS2,61.6,57.0,6.53,6.56,4.03,5224
2199,2199,1.02,Ideal,E,SI1,62.5,56.0,6.41,6.45,4.02,5255
2960,2960,0.41,Premium,G,VS1,61.9,58.0,4.78,4.75,2.95,963
6148,6148,0.56,Ideal,D,SI1,62.2,56.0,5.25,5.3,3.3,1569
12594,12594,0.72,Ideal,G,VVS2,61.8,56.0,5.77,5.81,3.57,3267
11051,11051,1.01,Ideal,F,VS2,61.3,56.0,6.4,6.44,3.93,6290
5099,5099,1.51,Premium,G,VS1,62.3,58.0,7.32,7.29,4.55,14445
12646,12646,0.71,Very Good,H,SI2,59.0,59.0,5.86,5.84,3.44,2394
1405,1405,0.4,Ideal,D,VS2,61.2,56.0,4.68,4.72,2.87,1125
4984,4984,0.7,Premium,E,VS1,61.4,59.0,5.72,5.69,3.5,3220
2625,2625,0.7,Ideal,H,SI1,59.5,58.0,5.78,5.81,3.46,2190
9392,9392,1.1,Premium,G,VS2,61.9,59.0,6.63,6.59,4.11,6608
13474,13474,1.02,Ideal,G,VS2,62.1,56.0,6.42,6.44,3.99,6214
4826,4826,0.52,Ideal,E,VS2,62.0,57.0,5.17,5.14,3.2,1576
4635,4635,1.22,Ideal,G,VVS2,61.4,56.0,6.88,6.9,4.23,10284
3148,3148,0.9,Premium,D,SI2,58.0,61.0,6.3,6.36,3.61,3941
13674,13674,0.51,Ideal,E,SI1,61.9,55.0,5.1,5.15,3.17,1443
2873,2873,0.34,Ideal,H,VS1,62.3,55.0,4.5,4.55,2.82,729
3916,3916,0.5,Ideal,F,VS1,60.8,57.0,5.16,5.19,3.15,1736
7163,7163,0.42,Ideal,E,VVS1,61.8,54.0,4.83,4.85,2.99,1228
7444,7444,0.3,Ideal,F,SI1,62.3,54.0,4.3,4.34,2.69,605
6141,6141,0.71,Premium,F,VS1,61.4,58.0,5.73,5.76,3.53,2783
9376,9376,0.6,Premium,D,VVS2,61.6,55.0,5.46,5.43,3.35,2815
76,76,1.02,Ideal,D,VS2,62.2,56.0,6.47,6.43,4.01,9467
6728,6728,0.33,Ideal,E,VVS1,61.5,57.0,4.44,4.47,2.74,954
8678,8678,0.33,Ideal,H,IF,62.3,55.0,4.42,4.45,2.76,891
13455,13455,1.09,Premium,E,SI1,61.3,59.0,6.63,6.58,4.05,5257
7332,7332,0.7,Ideal,H,VS2,61.4,57.0,5.74,5.71,3.51,2329
2260,2260,0.42,Premium,D,SI2,62.9,58.0,4.75,4.72,2.98,898
1775,1775,0.4,Premium,G,VVS1,61.0,58.0,4.8,4.77,2.92,1179
13422,13422,1.64,Premium,D,SI1,62.2,57.0,7.61,7.49,4.7,12823
93,93,1.0,Very Good,E,SI1,61.0,58.0,6.44,6.49,3.93,5973
9859,9859,0.32,Ideal,H,VS1,61.4,55.0,4.45,4.49,2.74,591
4007,4007,0.3,Premium,H,VS1,61.9,58.0,4.28,4.34,2.66,628
6942,6942,0.5,Very Good,D,VS2,60.8,60.0,5.14,5.18,3.13,1656
7772,7772,1.1,Ideal,I,VS2,62.1,55.0,6.57,6.67,4.11,5016
9593,9593,0.73,Ideal,E,SI1,62.3,54.0,5.75,5.8,3.6,2591
3181,3181,0.53,Ideal,E,VVS2,61.6,54.0,5.24,5.21,3.22,2271
11109,11109,0.53,Premium,E,VS2,60.0,60.0,5.29,5.22,3.17,1908
1076,1076,1.2,Ideal,F,VVS1,62.1,56.0,6.82,6.81,4.23,12401
2338,2338,1.0,Good,H,SI1,57.9,60.0,6.6,6.55,3.8,5204
8193,8193,0.24,Ideal,G,VVS1,62.0,56.0,3.99,4.01,2.48,559
1885,1885,0.32,Ideal,G,IF,62.5,55.0,4.41,4.43,2.76,918
12275,12275,0.3,Ideal,J,VS1,61.6,55.0,4.35,4.38,2.69,427
9544,9544,0.91,Ideal,H,SI2,61.2,56.0,6.27,6.21,3.82,3780
9850,9850,0.52,Ideal,E,VS2,62.1,54.0,5.15,5.18,3.21,1666
11285,11285,1.05,Premium,F,SI1,61.8,58.0,6.52,6.57,4.05,5778
9664,9664,1.01,Ideal,E,SI2,60.5,57.0,6.51,6.55,3.95,6062
5349,5349,0.33,Ideal,G,VVS2,61.9,55.0,4.47,4.47,2.76,713
